2023 - 1º Semestre |                                |     |      |           |          |          |           |          |           |        
Rubrica            | Nome Rubrica                   | R/D | Seq. | JAN       | FEV      | MAR      | ABR       | MAI      | JUN       | Rubrica | Nome Rubrica                   | R/D | Seq. | JUL      | AGO      | SET      | OUT      | NOV       | DEZ      
99001              | IMPOSTO DE RENDA RETIDO FONTE  | D   | 0    | 380,39    | 171,76   | 380,39   | 380,39    | 465,04   | 568,20    | 99001   | IMPOSTO DE RENDA RETIDO FONTE  | D   | 0    | 515,82   | 515,82   | 515,82   | 515,82   | 515,82    | 515,82   
                   |                                |     |      |           |          |          |           |          |           | 98004   | CONTR.PSS - GRATIF. NATALINA   | D   | 0    | 0,00     | 0,00     | 0,00     | 0,00     | 626,78    | 0,00     
*****              | TOTAL BRUTO                    | R   |      | 5.753,25  | 5.753,25 | 5.753,25 | 5.953,25  | 6.396,59 | 6.801,77  | *****   | TOTAL BRUTO                    | R   |      | 6.611,31 | 6.611,31 | 6.611,31 | 6.611,31 | 12.331,86 | 11.378,43
*****              | TOTAL DESCONTOS                | D   |      | 944,51    | 1.743,30 | 944,51   | 944,51    | 1.092,54 | 1.225,76  | *****   | TOTAL DESCONTOS                | D   |      | 1.173,38 | 1.178,82 | 1.178,82 | 1.178,82 | 4.883,24  | 1.178,82 
*****              | TOTAL LÍQUIDO                  | R   |      | 4.808,74  | 4.009,95 | 4.808,74 | 5.008,74  | 5.304,05 | 5.576,01  | *****   | TOTAL LÍQUIDO                  | R   |      | 5.437,93 | 5.432,49 | 5.432,49 | 5.432,49 | 7.448,62  | 10.199,61
Rubrica            | Nome Rubrica                   | R/D | Seq. | JAN       | FEV      | MAR      | ABR       | MAI      | JUN       | Rubrica | Nome Rubrica                   | R/D | Seq. | JUL      | AGO      | SET      | OUT      | NOV       | DEZ      
00001              | VENCIMENTO BASICO              | R   | 0    | 3.763,52  | 3.763,52 | 3.763,52 | 3.763,52  | 3.763,52 | 3.763,52  | 00001   | VENCIMENTO BASICO              | R   | 0    | 3.763,52 | 3.763,52 | 3.763,52 | 3.763,52 | 3.763,52  | 3.910,30 
00121              | AUXILIO NATALIDADE             | R   | 0    | 718,58    | 0,00     | 0,00     | 0,00      | 0,00     | 0,00      |         |                                |     |      |          |          |          |          |           |          
00136              | AUXÍLIO-ALIMENTACÃO            | R   | 0    | 658,00    | 658,00   | 658,00   | 658,00    | 1.000,00 | 1.000,00  | 00136   | AUXÍLIO-ALIMENTACÃO            | R   | 0    | 1.000,00 | 1.000,00 | 1.000,00 | 1.000,00 | 1.000,00  | 1.000,00 
00136              | AUXÍLIO-ALIMENTACÃO            | R   | 9    | 0,00      | 0,00     | 0,00     | 0,00      | 342,00   | 0,00      |         |                                |     |      |          |          |          |          |           |          
00700              | ASSISTENCIA PRE-ESCOLAR        | R   | 0    | 321,00    | 321,00   | 321,00   | 321,00    | 484,90   | 484,90    | 00700   | ASSISTENCIA PRE-ESCOLAR        | R   | 0    | 484,90   | 484,90   | 484,90   | 484,90   | 484,90    | 484,90   
00700              | ASSISTENCIA PRE-ESCOLAR        | R   | 6    | 117,70    | 0,00     | 0,00     | 0,00      | 0,00     | 0,00      |         |                                |     |      |          |          |          |          |           |          
82737              | PER CAPITA - SAUDE SUPLEMENTAR | R   | 0    | 232,76    | 232,76   | 232,76   | 238,40    | 486,80   | 486,80    |         |                                |     |      |          |          |          |          |           |          
82925              | IQ - 52% - LEI 11.091/05 AT    | R   | 0    | 1.957,03  | 1.957,03 | 1.957,03 | 1.957,03  | 1.957,03 | 1.957,03  | 82925   | IQ - 52% - LEI 11.091/05 AT    | R   | 0    | 1.957,03 | 1.957,03 | 1.957,03 | 1.957,03 | 1.957,03  | 2.033,35 
                   |                                |     |      |           |          |          |           |          |           | 00176   | GRATIFICAÇÃO NATALINA AT       | R   | 0    | 0,00     | 0,00     | 0,00     | 0,00     | 5.720,55  | 223,10   
34851              | MENSALIDADE SINDICAL - SINTEST | D   | 1    | 36,22     | 36,22    | 36,22    | 36,22     | 36,22    | 36,22     | 34851   | MENSALIDADE SINDICAL - SINTEST | D   | 1    | 36,22    | 36,22    | 36,22    | 36,22    | 36,22     | 36,22    
73580              | COTA PARTE PRE-ESCOLAR         | D   | 0    | 16,05     | 16,05    | 16,05    | 16,05     | 24,24    | 24,24     | 73580   | COTA PARTE PRE-ESCOLAR         | D   | 0    | 24,24    | 24,24    | 24,24    | 24,24    | 24,24     | 24,24    
98002              | CONT. PLANO SEGURIDADE SOCIAL  | D   | 0    | 619,69    | 619,69   | 619,69   | 619,69    | 619,69   | 619,69    | 98002   | CONT. PLANO SEGURIDADE SOCIAL  | D   | 0    | 619,69   | 619,69   | 619,69   | 619,69   | 619,69    | 650,92   
99001              | IMPOSTO DE RENDA RETIDO FONTE  | D   | 0    | 465,63    | 454,59   | 454,59   | 454,59    | 454,59   | 454,59    | 99001   | IMPOSTO DE RENDA RETIDO FONTE  | D   | 0    | 454,59   | 454,59   | 454,59   | 454,59   | 454,59    | 507,36   
                   |                                |     |      |           |          |          |           |          |           | 98004   | CONTR.PSS - GRATIF. NATALINA   | D   | 0    | 0,00     | 0,00     | 0,00     | 0,00     | 619,69    | 31,23    
*****              | TOTAL BRUTO                    | R   |      | 7.768,59  | 6.932,31 | 6.932,31 | 6.937,95  | 8.034,25 | 7.692,25  | *****   | TOTAL BRUTO                    | R   |      | 7.205,45 | 7.205,45 | 7.205,45 | 7.205,45 | 12.926,00 | 7.651,65 
*****              | TOTAL DESCONTOS                | D   |      | 1.137,59  | 1.126,55 | 1.126,55 | 1.126,55  | 1.134,74 | 1.134,74  | *****   | TOTAL DESCONTOS                | D   |      | 1.134,74 | 1.134,74 | 1.134,74 | 1.134,74 | 5.069,29  | 1.302,74 
*****              | TOTAL LÍQUIDO                  | R   |      | 6.631,00  | 5.805,76 | 5.805,76 | 5.811,40  | 6.899,51 | 6.557,51  | *****   | TOTAL LÍQUIDO                  | R   |      | 6.070,71 | 6.070,71 | 6.070,71 | 6.070,71 | 7.856,71  | 6.348,91 
Rubrica            | Nome Rubrica                   | R/D | Seq. | JAN       | FEV      | MAR      | ABR       | MAI      | JUN       | Rubrica | Nome Rubrica                   | R/D | Seq. | JUL      | AGO      | SET      | OUT      | NOV       | DEZ      
00001              | VENCIMENTO BASICO              | R   | 0    | 3.910,30  | 3.910,30 | 3.910,30 | 4.484,99  | 4.484,99 | 5.045,00  | 00001   | VENCIMENTO BASICO              | R   | 0    | 5.045,00 | 5.045,00 | 5.045,00 | 5.045,00 | 0,00      | 0,00     
00001              | VENCIMENTO BASICO              | R   | 6    | 0,00      | 0,00     | 0,00     | 574,69    | 0,00     | 2.800,05  |         |                                |     |      |          |          |          |          |           |          
00001              | VENCIMENTO BASICO              | R   | 7    | 0,00      | 0,00     | 0,00     | 574,69    | 0,00     | 0,00      |         |                                |     |      |          |          |          |          |           |          
00001              | VENCIMENTO BASICO              | R   | 8    | 0,00      | 0,00     | 0,00     | 574,69    | 0,00     | 0,00      |         |                                |     |      |          |          |          |          |           |          
00136              | AUXÍLIO-ALIMENTACÃO            | R   | 0    | 1.000,00  | 1.000,00 | 1.000,00 | 1.000,00  | 1.000,00 | 1.000,00  | 00136   | AUXÍLIO-ALIMENTACÃO            | R   | 0    | 1.000,00 | 1.000,00 | 1.000,00 | 1.000,00 | 0,00      | 0,00     
00177              | ADIANT.GRATIF.NATALINA AT      | R   | 9    | 2.971,82  | 0,00     | 0,00     | 0,00      | 0,00     | 0,00      |         |                                |     |      |          |          |          |          |           |          
00220              | FERIAS - ADICIONAL 1/3         | R   | 6    | 0,00      | 0,00     | 0,00     | 291,18    | 0,00     | 283,74    |         |                                |     |      |          |          |          |          |           |          
00220              | FERIAS - ADICIONAL 1/3         | R   | 9    | 1.981,21  | 0,00     | 0,00     | 0,00      | 0,00     | 0,00      |         |                                |     |      |          |          |          |          |           |          
00700              | ASSISTENCIA PRE-ESCOLAR        | R   | 0    | 484,90    | 484,90   | 484,90   | 484,90    | 484,90   | 484,90    | 00700   | ASSISTENCIA PRE-ESCOLAR        | R   | 0    | 484,90   | 484,90   | 484,90   | 484,90   | 0,00      | 0,00     
01251              | DEC. JUD. ISENTA IR PSS AT/AP  | R   | 0    | 0,00      | 0,00     | 0,00     | 0,00      | 24,24    | 24,24     | 01251   | DEC. JUD. ISENTA IR PSS AT/AP  | R   | 0    | 24,24    | 24,24    | 24,24    | 24,24    | 0,00      | 0,00     
82925              | IQ - 52% - LEI 11.091/05 AT    | R   | 0    | 2.033,35  | 2.033,35 | 2.033,35 | 2.332,19  | 2.332,19 | 2.623,40  | 82925   | IQ - 52% - LEI 11.091/05 AT    | R   | 0    | 2.623,40 | 2.623,40 | 2.623,40 | 2.623,40 | 0,00      | 0,00     
82925              | IQ - 52% - LEI 11.091/05 AT    | R   | 6    | 0,00      | 0,00     | 0,00     | 298,84    | 0,00     | 1.456,05  |         |                                |     |      |          |          |          |          |           |          
82925              | IQ - 52% - LEI 11.091/05 AT    | R   | 7    | 0,00      | 0,00     | 0,00     | 298,84    | 0,00     | 0,00      |         |                                |     |      |          |          |          |          |           |          
82925              | IQ - 52% - LEI 11.091/05 AT    | R   | 8    | 0,00      | 0,00     | 0,00     | 298,84    | 0,00     | 0,00      |         |                                |     |      |          |          |          |          |           |          
83264              | GRAT.P/ENCARGO CURSO/CONCURSO  | R   | 6    | 190,47    | 0,00     | 0,00     | 0,00      | 190,47   | 0,00      |         |                                |     |      |          |          |          |          |           |          
34851              | MENSALIDADE SINDICAL - SINTEST | D   | 1    | 72,44     | 36,22    | 36,22    | 36,22     | 44,84    | 44,84     | 34851   | MENSALIDADE SINDICAL - SINTEST | D   | 1    | 44,84    | 44,84    | 44,84    | 44,84    | 0,00      | 0,00     
73580              | COTA PARTE PRE-ESCOLAR         | D   | 0    | 24,24     | 24,24    | 24,24    | 24,24     | 24,24    | 24,24     | 73580   | COTA PARTE PRE-ESCOLAR         | D   | 0    | 24,24    | 24,24    | 24,24    | 24,24    | 0,00      | 0,00     
98002              | CONT. PLANO SEGURIDADE SOCIAL  | D   | 0    | 641,69    | 641,69   | 641,69   | 763,98    | 763,98   | 883,15    | 98002   | CONT. PLANO SEGURIDADE SOCIAL  | D   | 0    | 883,15   | 883,15   | 883,15   | 883,15   | 0,00      | 0,00     
98002              | CONT. PLANO SEGURIDADE SOCIAL  | D   | 6    | 0,00      | 0,00     | 0,00     | 366,87    | 0,00     | 187,64    |         |                                |     |      |          |          |          |          |           |          
99001              | IMPOSTO DE RENDA RETIDO FONTE  | D   | 0    | 562,28    | 509,90   | 509,90   | 1.323,53  | 756,14   | 2.023,90  | 99001   | IMPOSTO DE RENDA RETIDO FONTE  | D   | 0    | 905,07   | 905,07   | 905,07   | 905,07   | 0,00      | 0,00     
*****              | TOTAL BRUTO                    | R   |      | 12.572,05 | 7.428,55 | 7.428,55 | 11.213,85 | 8.516,79 | 13.717,38 | *****   | TOTAL BRUTO                    | R   |      | 9.177,54 | 9.177,54 | 9.177,54 | 9.177,54 | 0,00      | 0,00     
*****              | TOTAL DESCONTOS                | D   |      | 1.300,65  | 1.212,05 | 1.212,05 | 2.514,84  | 1.589,20 | 3.163,77  | *****   | TOTAL DESCONTOS                | D   |      | 1.857,30 | 1.857,30 | 1.857,30 | 1.857,30 | 0,00      | 0,00     
*****              | TOTAL LÍQUIDO                  | R   |      | 11.271,40 | 6.216,50 | 6.216,50 | 8.699,01  | 6.927,59 | 10.553,61 | *****   | TOTAL LÍQUIDO                  | R   |      | 7.320,24 | 7.320,24 | 7.320,24 | 7.320,24 | 0,00      | 0,00     
